GJ 3470 b,3.3366496,13.9,4.57,0.8,25.2,3600,-1.538,0.54,0.55
GJ 3634 b,2.64561,8.4,2.83,2.04,19.8,3685.02,-1.699,0.45,0.43
GJ 3779 b,3.0232,8,2.75,2.11,13.75,3324,-2.062,0.27,0.28
GJ 3942 b,6.905,7.14,2.57,2.31,16.94,3867,-1.12,0.63,0.61
GJ 3998 b,2.64977,2.47,1.38,5.16,17.79,3722,-1.387,0.5,0.49
GJ 3998 c,13.74,6.26,2.38,2.55,17.79,3722,-1.387,0.5,0.49
GJ 4276 b,13.352,16.57,4.22,1.21,21.35,3387,-1.706,0.41,0.41
GJ 433 b,7.3709,6.3566,2.4,2.53,9.07,3461,-1.523,0.59,0.5
GJ 436 b,2.64388312,22.1,4.17,1.8,9.76,3416,-1.585,0.47,0.46
GJ 504 b,,1271.3,13,3.18,17.54,6234,0.332,1.22,1.26
GJ 536 b,8.7076,5.36,2.17,2.88,10.03,3685,-1.377,0.52,0.5
GJ 581 b,5.3686,15.8,4.11,1.25,6.3,3660.26,-1.886,0.31,0.29
GJ 581 c,12.914,5.5,2.21,2.8,6.3,3660.26,-1.886,0.31,0.29
GJ 581 e,3.149,1.7,1.17,5.83,6.3,3660.26,-1.886,0.31,0.29
GJ 625 b,14.628,2.82,1.49,4.68,6.49,3499,-1.894,0.3,0.31
GJ 649 b,598.3,104.244,12.5,0.293,10.38,3700,-1.365,0.54,0.46
GJ 667 C b,7.2004,5.6,2.23,2.77,6.8,3350,-1.863,0.33,
GJ 667 C c,28.14,3.8,1.77,3.77,6.8,3350,-1.863,0.33,
GJ 667 C e,62.24,2.7,1.45,4.87,6.8,3350,-1.863,0.33,
GJ 667 C f,39.026,2.7,1.45,4.87,6.8,3350,-1.863,0.33,
GJ 667 C g,256.2,4.6,1.99,3.21,6.8,3350,-1.863,0.33,
GJ 674 b,4.6938,11.09,3.33,1.65,4.55,3600,-1.796,0.35,0.36
GJ 676 A b,1056.80005,2129.461,12.7,5.71,16.9,3734,-1.043,0.73,0.69
GJ 676 A c,7337,2161.244,12.7,5.8,16.9,3734,-1.043,0.73,0.69
GJ 676 A d,3.6005,4.4,1.93,3.36,16.9,3734,-1.043,0.73,0.69
GJ 676 A e,35.39,8.1,2.77,2.09,16.9,3734,-1.043,0.73,0.69
GJ 687 b,38.14,19.0698,4.59,1.08,4.55,3340,-1.672,0.45,0.43
GJ 832 b,3657,216,14,0.433,4.97,3472,-1.585,0.45,0.45
GJ 832 c,35.68,5.4,2.18,2.86,4.97,3472,-1.585,0.45,0.45
GJ 849 b,1882,317.83,13.8,0.665,8.8,3241,-1.523,0.65,0.53
GJ 86 b,15.76491,1404.8086,12.9,3.6,10.79,5182,-0.39,0.93,0.77
GJ 876 b,61.1166,723.2235,13.3,1.69,4.68,3129,-1.907,0.32,0.3
GJ 876 c,30.0881,226.9846,14,0.455,4.68,3129,-1.907,0.32,0.3
GJ 876 d,1.93778,6.83,2.51,2.37,4.68,3129,-1.907,0.32,0.3
GJ 876 e,124.26,14.6,3.92,1.33,4.68,3129,-1.907,0.32,0.3
GJ 96 b,73.94,19.66,4.67,1.06,11.94,3785,-1.052,0.6,0.59
GJ 9827 b,1.2089802,3.42,1.62,4.5,30.32,4269,-0.942,0.61,0.61
GJ 9827 c,3.648083,2.42,1.269,6.4,30.32,4269,-0.942,0.61,0.61
GJ 9827 d,6.201467,5.2,2.07,3.23,30.32,4269,-0.942,0.61,0.61
GQ Lup b,,6356,33.6,0.921,139,4092.57,-0.072,0.7,1.83
GSC 06214-00210 b,,5000,20.176,3.35,145,4200,-0.42,0.9,0.74
GU Psc b,,3591.3,14.179,6.92,48,4031.81,,0.33,
HAT-P-1 b,4.46529976,166.86075,14.785,0.282,139,5980,0.209,1.15,1.17
HAT-P-11 b,4.88780244,26.69772,4.36,1.68,37.81,4780,-0.564,0.81,0.68
HAT-P-11 c,3407,507,13.5,1.13,37.81,4780,-0.564,0.81,0.68
HAT-P-12 b,3.2130598,67.059,10.749,0.3192,142.5,4650,-0.678,0.73,0.7
HAT-P-13 b,2.91625,270.462,14.258,0.362,214,5653,0.346,1.22,1.56
HAT-P-13 c,446.27,4538.421,12.3,13.4,214,5653,0.346,1.22,1.56
HAT-P-14 b,4.62767,1093.3352,15.917,1.56,205,6600,0.615,2.65,1.82
HAT-P-15 b,10.8635,616.5902,11.882,1.96,190,5568,-0.193,1,1.07
HAT-P-16 b,2.77596,1332.605,14.448,2.42,235,6158,0.294,1.22,1.24
HAT-P-17 b,10.33852,184.3414,11.769,0.64,90,5246,-0.273,0.99,0.87
HAT-P-17 c,5584,1080.6,13.1,2.64,90,5246,-0.273,0.99,0.87
HAT-P-18 b,5.508023,62.61,11.153,0.25,166,4803,-0.569,0.77,0.75
HAT-P-19 b,4.008778,92.802,12.689,0.25,215,4990,-0.432,0.84,0.82
HAT-P-2 b,5.6335158,3175.1217,10.66,7.29,128.25,6380,0.53,1.33,1.39
HAT-P-20 b,2.875317,2302.899,9.718,13.78,70,4595,-0.721,0.76,0.69
HAT-P-21 b,4.12448,1547.8321,12.442,4.68,254,5588,0.148,1.24,1.21
HAT-P-22 b,3.21222,785.0401,12.89,2.14,82,5302,-0.087,1.13,1.11
HAT-P-23 b,1.21288,425.8922,12.218,1.406,393,5905,0.137,0.58,0.96
HAT-P-24 b,3.35524,238.3725,14.572,0.44,396,6373,0.454,1.37,1.38
HAT-P-25 b,3.65281514,180.84527,12.722,0.483,297,5519,-0.152,1.01,0.92
HAT-P-26 b,4.23452,22.2481,7.062,0.4,134,5079,-0.368,1.12,0.87
HAT-P-27 b,3.039577,197.05,11.43,0.725,204,5300,-0.244,0.94,0.9
HAT-P-28 b,3.257215,198.953,13.585,0.44,395,5680,0.053,1.02,1.1
